# Components bundled inside the PXF server application JAR (BOOT-INF/lib) of the
# convenience binary packages. Regenerate/verify with generate-binary-license.py.
#
# jar_file	coordinate	license_id	license_file	notes
aircompressor-2.0.2.jar	io.airlift:aircompressor:2.0.2	Apache-2.0	-	
antlr-runtime-3.5.2.jar	org.antlr:antlr-runtime:3.5.2	BSD-3-Clause	LICENSE-antlr-runtime.txt	
audience-annotations-0.13.0.jar	org.apache.yetus:audience-annotations:0.13.0	Apache-2.0	-	
avro-1.11.5.jar	org.apache.avro:avro:1.11.5	Apache-2.0	-	
avro-mapred-1.11.5.jar	org.apache.avro:avro-mapred:1.11.5	Apache-2.0	-	
aws-java-sdk-core-1.12.261.jar	com.amazonaws:aws-java-sdk-core:1.12.261	Apache-2.0	-	
aws-java-sdk-kms-1.12.261.jar	com.amazonaws:aws-java-sdk-kms:1.12.261	Apache-2.0	-	
aws-java-sdk-s3-1.12.261.jar	com.amazonaws:aws-java-sdk-s3:1.12.261	Apache-2.0	-	
azure-data-lake-store-sdk-2.3.9.jar	com.microsoft.azure:azure-data-lake-store-sdk:2.3.9	MIT	LICENSE-azure-data-lake-store-sdk.txt	
azure-storage-5.5.0.jar	com.microsoft.azure:azure-storage:5.5.0	Apache-2.0	-	
commons-codec-1.14.jar	commons-codec:commons-codec:1.14	Apache-2.0	-	
commons-collections-3.2.2.jar	commons-collections:commons-collections:3.2.2	Apache-2.0	-	
commons-compress-1.20.jar	org.apache.commons:commons-compress:1.20	Apache-2.0	-	
commons-configuration-1.10.jar	commons-configuration:commons-configuration:1.10	Apache-2.0	-	
commons-crypto-1.0.0.jar	org.apache.commons:commons-crypto:1.0.0	Apache-2.0	-	
commons-io-2.7.jar	commons-io:commons-io:2.7	Apache-2.0	-	
commons-lang-2.6.jar	commons-lang:commons-lang:2.6	Apache-2.0	-	
commons-lang3-3.12.0.jar	org.apache.commons:commons-lang3:3.12.0	Apache-2.0	-	
commons-logging-1.1.3.jar	commons-logging:commons-logging:1.1.3	Apache-2.0	-	
datanucleus-api-jdo-4.2.4.jar	org.datanucleus:datanucleus-api-jdo:4.2.4	Apache-2.0	-	
datanucleus-core-4.1.17.jar	org.datanucleus:datanucleus-core:4.1.17	Apache-2.0	-	
gcs-connector-hadoop2-1.9.17-shaded.jar	com.google.cloud.bigdataoss:gcs-connector:hadoop2-1.9.17	Apache-2.0	-	
guava-20.0.jar	com.google.guava:guava:20.0	Apache-2.0	-	
hadoop-auth-2.10.2.jar	org.apache.hadoop:hadoop-auth:2.10.2	Apache-2.0	-	
hadoop-aws-2.10.2.jar	org.apache.hadoop:hadoop-aws:2.10.2	Apache-2.0	-	
hadoop-azure-2.10.2.jar	org.apache.hadoop:hadoop-azure:2.10.2	Apache-2.0	-	
hadoop-azure-datalake-2.10.2.jar	org.apache.hadoop:hadoop-azure-datalake:2.10.2	Apache-2.0	-	
hadoop-common-2.10.2.jar	org.apache.hadoop:hadoop-common:2.10.2	Apache-2.0	-	
hadoop-hdfs-2.10.2.jar	org.apache.hadoop:hadoop-hdfs:2.10.2	Apache-2.0	-	
hadoop-hdfs-client-2.10.2.jar	org.apache.hadoop:hadoop-hdfs-client:2.10.2	Apache-2.0	-	
hadoop-mapreduce-client-core-2.10.2.jar	org.apache.hadoop:hadoop-mapreduce-client-core:2.10.2	Apache-2.0	-	
hadoop-yarn-api-2.10.2.jar	org.apache.hadoop:hadoop-yarn-api:2.10.2	Apache-2.0	-	
hadoop-yarn-client-2.10.2.jar	org.apache.hadoop:hadoop-yarn-client:2.10.2	Apache-2.0	-	
hbase-client-2.5.15.jar	org.apache.hbase:hbase-client:2.5.15	Apache-2.0	-	
hbase-common-2.5.15.jar	org.apache.hbase:hbase-common:2.5.15	Apache-2.0	-	
hbase-hadoop-compat-2.5.15.jar	org.apache.hbase:hbase-hadoop-compat:2.5.15	Apache-2.0	-	
hbase-hadoop2-compat-2.5.15.jar	org.apache.hbase:hbase-hadoop2-compat:2.5.15	Apache-2.0	-	
hbase-logging-2.5.15.jar	org.apache.hbase:hbase-logging:2.5.15	Apache-2.0	-	
hbase-metrics-2.5.15.jar	org.apache.hbase:hbase-metrics:2.5.15	Apache-2.0	-	
hbase-metrics-api-2.5.15.jar	org.apache.hbase:hbase-metrics-api:2.5.15	Apache-2.0	-	
hbase-protocol-2.5.15.jar	org.apache.hbase:hbase-protocol:2.5.15	Apache-2.0	-	
